epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,8900.98,0.47455,1.21715,0,0.33574,0.88861,0.98822,0.98459,0.99433,0.98007,0.98474,0.96404,0.98905,0.9003,0.23833,0.62514,0,0.186,0.78602,0.0050995,0.0050995,0.0050995
101,8987.93,0.47118,1.16858,0,0.33357,0.8836,0.98716,0.98441,0.99438,0.98051,0.97584,0.97545,0.98946,0.90085,0.23853,0.62356,0,0.18511,0.7861,0.00505,0.00505,0.00505
102,9075.26,0.46927,1.20158,0,0.33578,0.88554,0.98752,0.98613,0.99439,0.98028,0.97683,0.97545,0.98887,0.90074,0.23739,0.62168,0,0.18443,0.78601,0.0050005,0.0050005,0.0050005
103,9163.97,0.47268,1.19046,0,0.33501,0.8866,0.98824,0.98662,0.9944,0.98106,0.97756,0.97617,0.98899,0.90201,0.2372,0.61913,0,0.18376,0.78576,0.004951,0.004951,0.004951
104,9253.46,0.46629,1.18472,0,0.33046,0.88658,0.98824,0.9869,0.99445,0.98093,0.97756,0.9763,0.98904,0.90168,0.23672,0.61687,0,0.18279,0.78554,0.0049015,0.0049015,0.0049015
105,9340.63,0.47413,1.20469,0,0.33681,0.88907,0.99141,0.98506,0.99453,0.98103,0.98067,0.97438,0.98919,0.90262,0.23619,0.61519,0,0.18254,0.78533,0.004852,0.004852,0.004852
106,9436.89,0.4723,1.19063,0,0.33326,0.88571,0.98996,0.98613,0.99453,0.98101,0.97925,0.97545,0.9892,0.90228,0.23485,0.61339,0,0.1821,0.78499,0.0048025,0.0048025,0.0048025
107,9533.38,0.47025,1.1664,0,0.33472,0.88812,0.98917,0.98826,0.99454,0.9813,0.97849,0.97759,0.989,0.90201,0.23457,0.61162,0,0.18106,0.78482,0.004753,0.004753,0.004753
108,9623.57,0.46562,1.16578,0,0.32961,0.88398,0.98908,0.98719,0.99454,0.98118,0.97828,0.97652,0.98893,0.9031,0.23444,0.61028,0,0.18154,0.78483,0.0047035,0.0047035,0.0047035
109,9711.85,0.46758,1.18263,0,0.33074,0.88457,0.98807,0.98719,0.99456,0.98072,0.97739,0.97652,0.98897,0.90368,0.23429,0.60945,0,0.18198,0.78488,0.004654,0.004654,0.004654
110,9802.55,0.46925,1.17502,0,0.33259,0.88579,0.98615,0.98759,0.99449,0.98072,0.97656,0.97799,0.98979,0.90429,0.23408,0.60829,0,0.18214,0.78483,0.0046045,0.0046045,0.0046045
111,9896.06,0.46771,1.14695,0,0.32747,0.88481,0.98441,0.98826,0.99454,0.98129,0.97589,0.97972,0.99123,0.90463,0.23395,0.60708,0,0.18224,0.7847,0.004555,0.004555,0.004555
112,9996.31,0.46453,1.1473,0,0.33309,0.88547,0.98563,0.98719,0.99449,0.98146,0.97711,0.97866,0.99067,0.90426,0.23317,0.60588,0,0.18187,0.78449,0.0045055,0.0045055,0.0045055
113,10088.4,0.46578,1.17241,0,0.32746,0.88506,0.98822,0.98519,0.99454,0.98155,0.97966,0.97679,0.99136,0.90613,0.23279,0.60456,0,0.18169,0.78451,0.004456,0.004456,0.004456
114,10179.9,0.46445,1.15044,0,0.32714,0.88867,0.98765,0.98506,0.99455,0.98114,0.97909,0.97652,0.99147,0.90673,0.23248,0.60281,0,0.18174,0.7846,0.0044065,0.0044065,0.0044065
115,10273,0.46434,1.15882,0,0.32806,0.88708,0.98814,0.98506,0.99457,0.98153,0.97958,0.97652,0.99101,0.90682,0.2319,0.59973,0,0.18131,0.78448,0.004357,0.004357,0.004357
116,10364.4,0.46298,1.13957,0,0.32646,0.88688,0.98823,0.98586,0.99456,0.98135,0.9786,0.97625,0.99023,0.90714,0.23186,0.59839,0,0.18131,0.78454,0.0043075,0.0043075,0.0043075
117,10457.1,0.45837,1.1229,0,0.32478,0.88202,0.98821,0.98417,0.99455,0.98146,0.97964,0.97573,0.99095,0.90725,0.23161,0.59688,0,0.18097,0.78457,0.004258,0.004258,0.004258
118,10548.3,0.45507,1.12277,0,0.32149,0.88467,0.98726,0.98506,0.99453,0.98145,0.97758,0.97545,0.99029,0.90757,0.23093,0.59577,0,0.18102,0.78457,0.0042085,0.0042085,0.0042085
119,10643.9,0.45618,1.11861,0,0.32229,0.88313,0.98768,0.98506,0.99454,0.98154,0.97805,0.97545,0.9903,0.90764,0.23077,0.59488,0,0.181,0.78458,0.004159,0.004159,0.004159
120,10736.4,0.45477,1.10438,0,0.321,0.88311,0.98199,0.9891,0.99454,0.98192,0.97245,0.97949,0.99032,0.908,0.23018,0.5939,0,0.18017,0.78452,0.0041095,0.0041095,0.0041095
121,10829,0.45214,1.09762,0,0.32095,0.88376,0.98715,0.98399,0.99451,0.98148,0.97752,0.97438,0.99031,0.90827,0.23007,0.59334,0,0.1796,0.78455,0.00406,0.00406,0.00406
